-2.375,-79.267,
-0.785,-79.641,
-0.595,-79.553,
0.321,-79.213,
35.892,14.432,
35.897,14.453,
35.886,14.524,
35.897,14.465,
35.822,14.523,
35.881,14.522,
35.86,14.383,
35.873,14.52,
35.892,14.504,
36.038,14.236,
36.027,14.286,
36.068,14.201,
35.924,14.455,
36.065,14.222,
35.846,14.517,
35.851,14.503,
35.906,14.493,
35.887,14.488,
35.91,14.456,
35.887,14.405,
35.919,14.364,
35.845,14.467,
35.899,14.484,
35.891,14.397,
35.888,14.517,
35.891,14.533,
36.044,14.216,
35.844,14.484,
35.901,14.442,
35.86,14.483,
35.876,14.492,
35.861,14.559,
35.842,14.551,
35.958,14.351,
35.913,14.421,
36.029,14.226,
36.049,14.294,
35.933,14.438,
35.874,14.506,
35.931,14.476,
35.892,14.494,
36.038,14.317,
35.879,14.467,
35.832,14.451,
35.883,14.398,
36.045,14.242,
35.835,14.492,
35.909,14.475,
35.917,14.489,
36.049,14.198,
35.862,14.506,
35.938,14.399,
35.89,14.478,
36.023,14.251,
35.849,14.426,
35.913,14.502,
35.922,14.469,
35.867,14.513,
35.899,14.496,
35.898,14.512,
36.054,14.267,
36.033,14.261,
35.885,14.549,
35.875,14.542,
35.874,14.436,
36.067,14.244,
35.858,14.533,
35.822,14.483,
57.917,19.133,
59.617,17.367,
59.533,16.25,
59.317,18.255,
59.635,17.913,
59.333,18.065,
55.55,12.967,
55.583,13.2,
55.6,13.25,
55.658,13.083,
55.85,12.917,
56.25,12.967,
57.567,11.933,
59.333,18.05,
59.283,18.067,
59.25,18.083,
59.297,18.031,
59.279,18.011,
59.276,17.902,
59.267,18.117,
59.306,17.987,
59.31,18.164,
59.283,18.3,
59.327,18.39,
59.233,18.3,
59.168,18.145,
59.168,18.138,
59.117,18.1,
59.267,18.183,
59.35,18.5,
59.237,17.982,
59.217,18.15,
59.267,17.883,
59.2,17.733,
59.25,17.783,
59.2,17.883,
59.199,17.833,
58.983,17.9,
58.903,17.948,
59.196,17.625,
59.1,17.567,
59.183,17.433,
59.35,17.917,
59.364,17.874,
59.383,17.917,
59.403,17.945,
59.15,16.85,
59.36,18.001,
59.361,17.971,
59.336,18.058,
59.35,17.966,
59.291,17.812,
59.367,18.133,
59.399,18.029,
59.444,18.069,
59.479,18.3,
59.402,18.353,
59.534,18.078,
59.583,17.883,
59.428,17.951,
59.617,17.724,
59.52,17.908,
59.617,17.85,
59.479,17.748,
59.517,17.633,
59.758,18.705,
59.75,18.367,
60.05,18.6,
63.828,20.26,
63.933,19.833,
63.907,19.757,
64.627,16.656,
63.706,20.364,
63.569,19.502,
64.193,20.848,
64.067,20.85,
63.93,19.214,
64.262,16.413,
63.904,20.55,
65.067,18.583,
64.595,18.674,
64.202,19.72,
65.096,17.117,
64.751,20.953,
64.713,21.166,
64.836,20.985,
64.912,19.482,
64.867,20.383,
64.517,20.65,
66.052,17.886,
65.59,19.167,
65.317,21.479,
65.676,21.002,
65.35,21.4,
65.283,21.383,
65.417,21.45,
65.853,23.157,
65.835,24.137,
65.633,22.017,
65.855,22.291,
66.328,22.844,
66.388,23.654,
65.825,21.689,
66.607,19.823,
65.584,22.155,
67.856,20.225,
67.134,20.653,
67.175,20.655,
67.213,23.366,
59.726,17.788,
60.167,18.467,
60.259,18.374,
60.017,17.733,
59.967,17.7,
59.636,17.078,
59.567,17.528,
60.183,18.183,
60.067,18.083,
60.267,17.65,
60.233,17.7,
60.2,17.9,
59.733,17.3,
59.617,17.25,
59.858,17.645,
60.641,17.409,
60.383,17.233,
60.343,17.518,
58.753,17.008,
58.671,17.102,
58.896,17.548,
59.367,16.508,
58.996,16.207,
59.058,16.588,
59.043,15.874,
59.377,17.031,
59.047,17.312,
59.267,17.217,
58.417,15.617,
58.537,15.037,
58.449,14.89,
58.326,15.124,
58.4,15.083,
58.202,15.998,
58.23,14.653,
58.594,16.183,
58.706,15.767,
58.481,16.322,
58.203,16.602,
58.667,16.183,
58.567,15.9,
58.667,16.383,
57.186,14.04,
57.304,13.541,
57.167,13.4,
57.283,13.633,
57.358,13.737,
57.782,14.156,
57.8,14.267,
57.7,14.1,
58.017,14.467,
57.85,14.117,
57.917,13.878,
57.912,14.074,
57.498,14.148,
57.433,14.083,
57.653,14.697,
58.037,14.978,
57.429,15.078,
57.666,14.972,
57.403,14.662,
57.839,14.81,
56.461,13.596,
56.833,13.941,
56.783,14.45,
57.0,14.567,
56.899,14.556,
56.551,14.138,
56.878,14.809,
56.525,14.979,
56.633,15.537,
56.745,15.907,
57.041,16.445,
56.983,16.333,
56.413,15.998,
56.65,16.45,
56.879,16.656,
56.633,16.167,
56.662,16.362,
57.265,16.448,
57.488,15.844,
57.166,16.026,
57.758,16.637,
57.9,16.4,
57.666,15.855,
57.641,18.296,
57.517,18.45,
57.541,18.419,
57.238,18.374,
57.387,18.204,
57.283,18.467,
57.15,18.317,
57.433,18.833,
57.783,18.783,
57.705,18.803,
57.733,18.583,
57.867,19.05,
56.277,14.534,
56.052,14.575,
56.2,15.65,
56.162,15.587,
56.21,15.276,
56.171,14.862,
56.183,14.75,
56.267,14.767,
55.606,13.001,
55.583,12.95,
55.533,12.95,
55.517,13.0,
55.533,12.917,
55.703,13.193,
55.375,13.157,
55.633,13.071,
55.508,13.235,
55.672,13.069,
55.471,13.02,
55.417,12.95,
55.717,13.017,
55.533,13.1,
55.417,12.85,
55.839,13.304,
55.852,13.661,
55.934,13.539,
55.792,13.11,
55.643,13.206,
55.767,13.017,
55.717,13.333,
56.047,12.694,
55.967,12.767,
56.017,12.717,
56.1,12.733,
55.871,12.83,
56.243,12.862,
56.2,12.558,
56.136,13.131,
56.136,12.944,
56.084,12.919,
55.913,13.108,
56.427,12.853,
55.43,13.82,
55.467,13.933,
55.556,14.35,
55.543,13.955,
55.478,13.502,
55.631,13.706,
56.159,13.766,
56.167,13.583,
56.382,13.994,
56.138,13.395,
56.283,13.278,
56.1,13.917,
56.183,14.083,
56.031,14.152,
56.075,14.47,
55.917,14.283,
55.833,14.083,
56.675,12.857,
56.906,12.491,
56.512,13.044,
56.8,12.967,
56.999,13.24,
57.543,11.943,
57.106,12.251,
57.487,12.076,
57.425,12.029,
57.707,11.967,
57.647,11.929,
57.677,11.958,
57.724,11.77,
57.783,12.1,
57.8,12.15,
57.61,12.051,
57.655,12.014,
57.739,12.106,
57.659,12.118,
57.616,11.946,
57.567,12.083,
57.654,12.363,
57.687,12.212,
57.871,11.98,
57.77,12.269,
58.071,11.818,
57.967,12.117,
58.037,12.809,
57.8,12.367,
57.883,12.067,
58.348,11.942,
58.939,11.171,
58.274,11.436,
58.383,11.483,
58.472,11.669,
58.363,11.259,
58.724,11.326,
58.568,11.992,
58.217,11.917,
58.284,12.289,
58.381,12.323,
58.133,12.133,
58.8,12.417,
58.7,12.453,
58.188,12.716,
58.117,12.533,
58.332,12.681,
57.933,11.583,
57.933,11.617,
58.05,11.733,
57.987,11.557,
58.239,11.676,
58.183,11.467,
58.117,11.35,
57.721,12.94,
57.7,13.017,
57.507,12.695,
57.495,13.111,
57.817,13.017,
57.533,13.35,
57.483,13.35,
57.633,12.833,
57.717,13.083,
57.669,12.573,
57.71,12.792,
57.715,12.835,
57.35,12.467,
58.173,13.551,
58.18,13.958,
57.792,13.414,
58.077,13.027,
58.505,13.158,
58.387,13.438,
58.528,13.495,
58.262,12.954,
58.391,13.845,
58.71,13.824,
58.425,14.162,
58.301,14.288,
58.707,14.126,
58.537,14.505,
58.986,14.096,
58.867,14.183,
58.567,14.0,
59.051,12.705,
59.029,12.232,
58.913,11.925,
59.379,13.504,
59.132,12.929,
59.323,13.466,
59.347,13.109,
59.507,13.314,
59.525,13.481,
59.6,13.467,
59.655,12.585,
59.392,12.133,
59.884,12.304,
59.31,14.108,
59.712,14.168,
60.024,13.672,
