framework;old;new
H2020;MSCA-IF-GF;PF-GF
H2020;MSCA-IF-EF-ST;PF-EF
H2020;MSCA-IF-EF-CAR;PF-EF
H2020;MSCA-IF-EF-SE;PF-EF
H2020;MSCA-RISE;SE
H2020;MSCA-ITN-EID;DN-ID
H2020;MSCA-ITN-EJD;DN-JD
H2020;MSCA-ITN-ETN;DN
H2020;MSCA-COFUND-DP;COFUND-D
H2020;MSCA-COFUND-FP;COFUND-P
H2020;MSCA-NIGHT;CITIZENS
H2020;MSCA-IF-EF-RI;PF-EF
FP7;MC-COFUND;COFUND
FP7;MC-ERG;PF-EF
FP7;MC-IAPP;SE
FP7;MC-IEF;PF-EF
FP7;MC-IIF;PF-EF
FP7;MC-IIFR;PF-GF
FP7;MC-IOF;PF-GF
FP7;MC-IRG;PF-EF
FP7;MC-IRSES;SE
FP7;MC-ITN;DN
FP7;MC-NIGHT;CITIZENS
FP6;EIF;PF
FP6;ERG;PF
FP6;IIF;PF-EF
FP6;IIFR;PF-GF
FP6;IRG;PF-EF
FP6;OIF;PF-GF
FP6;RTN;DN
FP6;NIGHT;CITIZENS
